,origin,hs07,year,export_val
226,afg,Miscellaneous,2014,6141294.95
227,afg,Miscellaneous,2015,6580342.63
228,afg,Miscellaneous,2016,1388327.68
229,afg,Miscellaneous,2017,2771866.52
230,afg,Plastics / Rubbers,2008,1136391.29
231,afg,Plastics / Rubbers,2009,126469448.88
232,afg,Plastics / Rubbers,2010,8394017.280000001
233,afg,Plastics / Rubbers,2011,523524.06000000006
234,afg,Plastics / Rubbers,2012,382873.17999999993
235,afg,Plastics / Rubbers,2013,2171312.76
236,afg,Plastics / Rubbers,2014,1741850.82
237,afg,Plastics / Rubbers,2015,2296266.12
238,afg,Plastics / Rubbers,2016,2088528.2799999998
239,afg,Plastics / Rubbers,2017,1755656.86
240,afg,"Raw Hides, Skins, Leather, & Furs",2008,15485296.07
241,afg,"Raw Hides, Skins, Leather, & Furs",2009,8907629.94
242,afg,"Raw Hides, Skins, Leather, & Furs",2010,13299082.2
243,afg,"Raw Hides, Skins, Leather, & Furs",2011,17997307.8
244,afg,"Raw Hides, Skins, Leather, & Furs",2012,19925967.42
245,afg,"Raw Hides, Skins, Leather, & Furs",2013,26016817.45
246,afg,"Raw Hides, Skins, Leather, & Furs",2014,23954513.17
247,afg,"Raw Hides, Skins, Leather, & Furs",2015,16152579.42
248,afg,"Raw Hides, Skins, Leather, & Furs",2016,13791686.13
249,afg,"Raw Hides, Skins, Leather, & Furs",2017,8092998.45
250,afg,Stone / Glass,2008,335333.99
251,afg,Stone / Glass,2009,17378654.040000003
252,afg,Stone / Glass,2010,924951.8999999999
253,afg,Stone / Glass,2011,3593872.63
254,afg,Stone / Glass,2012,1097671.99
255,afg,Stone / Glass,2013,7154665.8100000005
256,afg,Stone / Glass,2014,1467335.62
257,afg,Stone / Glass,2015,14468022.0
258,afg,Stone / Glass,2016,273560078.29
259,afg,Stone / Glass,2017,3757620.16
260,afg,Textiles,2008,27368823.290000003
261,afg,Textiles,2009,91084706.19
262,afg,Textiles,2010,77967187.50999999
263,afg,Textiles,2011,45735885.50999999
264,afg,Textiles,2012,81595030.08
265,afg,Textiles,2013,143906223.79
266,afg,Textiles,2014,90349716.66000001
267,afg,Textiles,2015,99546539.46000002
268,afg,Textiles,2016,72360661.33
269,afg,Textiles,2017,17198693.44
270,afg,Transportation,2008,24866721.72
271,afg,Transportation,2009,179553068.45000002
272,afg,Transportation,2010,17357670.79
273,afg,Transportation,2011,15368597.97
274,afg,Transportation,2012,4776690.449999999
275,afg,Transportation,2013,4162059.23
276,afg,Transportation,2014,4251218.680000001
277,afg,Transportation,2015,940732.19
278,afg,Transportation,2016,3813005.06
279,afg,Transportation,2017,2374742.3
280,afg,Vegetable Products,2008,79535634.03
281,afg,Vegetable Products,2009,202052358.85999995
282,afg,Vegetable Products,2010,223855499.59000003
283,afg,Vegetable Products,2011,216167575.64
284,afg,Vegetable Products,2012,159264380.02000004
285,afg,Vegetable Products,2013,312293122.8299999
286,afg,Vegetable Products,2014,395329551.09
287,afg,Vegetable Products,2015,530287543.0
288,afg,Vegetable Products,2016,495476597.06
289,afg,Vegetable Products,2017,431767141.98
290,afg,Wood & Wood Products,2008,3580609.9500000007
291,afg,Wood & Wood Products,2009,15360793.949999997
292,afg,Wood & Wood Products,2010,4906187.27
293,afg,Wood & Wood Products,2011,3942141.509999999
294,afg,Wood & Wood Products,2012,484355.95
295,afg,Wood & Wood Products,2013,576633.19
296,afg,Wood & Wood Products,2014,551910.42
297,afg,Wood & Wood Products,2015,1148902.0400000003
298,afg,Wood & Wood Products,2016,2475816.9799999995
299,afg,Wood & Wood Products,2017,185740.77000000002
300,ago,Animal & Animal Products,2008,19608218.57
301,ago,Animal & Animal Products,2009,30885309.67
302,ago,Animal & Animal Products,2010,12880062.629999999
303,ago,Animal & Animal Products,2011,11063808.62
304,ago,Animal & Animal Products,2012,14441935.01
305,ago,Animal & Animal Products,2013,22540360.98
306,ago,Animal & Animal Products,2014,30509112.2
307,ago,Animal & Animal Products,2015,100581046.91
308,ago,Animal & Animal Products,2016,38143218.67999999
309,ago,Animal & Animal Products,2017,64666909.51
310,ago,Chemicals & Allied Industries,2008,286187.15
311,ago,Chemicals & Allied Industries,2009,16176404.78
312,ago,Chemicals & Allied Industries,2010,3457768.59
313,ago,Chemicals & Allied Industries,2011,1443099.02
314,ago,Chemicals & Allied Industries,2012,17625347.820000008
315,ago,Chemicals & Allied Industries,2013,861870.17
316,ago,Chemicals & Allied Industries,2014,853155.97
317,ago,Chemicals & Allied Industries,2015,1418475.1900000002
318,ago,Chemicals & Allied Industries,2016,857001.34
319,ago,Chemicals & Allied Industries,2017,2143956.06
320,ago,Foodstuffs,2008,742068.02
321,ago,Foodstuffs,2009,481909.27999999997
322,ago,Foodstuffs,2010,6818318.710000001
323,ago,Foodstuffs,2011,5837860.1
324,ago,Foodstuffs,2012,3164116.98
325,ago,Foodstuffs,2013,3828868.3899999997
326,ago,Foodstuffs,2014,6106570.63
327,ago,Foodstuffs,2015,7403999.609999999
328,ago,Foodstuffs,2016,12502544.09
329,ago,Foodstuffs,2017,4935335.96
330,ago,Footwear / Headgear,2008,6542.0
331,ago,Footwear / Headgear,2009,4622.0
332,ago,Footwear / Headgear,2010,15583.0
333,ago,Footwear / Headgear,2011,215290.0
334,ago,Footwear / Headgear,2012,122440.82
335,ago,Footwear / Headgear,2013,91079.0
336,ago,Footwear / Headgear,2014,165547.0
337,ago,Footwear / Headgear,2015,163657.13
338,ago,Footwear / Headgear,2016,161166.0
339,ago,Footwear / Headgear,2017,110309.0
340,ago,Machinery / Electrical,2008,18019108.35
341,ago,Machinery / Electrical,2009,148637042.23000002
342,ago,Machinery / Electrical,2010,75969055.24999999
343,ago,Machinery / Electrical,2011,81989422.16999997
344,ago,Machinery / Electrical,2012,89125043.02
345,ago,Machinery / Electrical,2013,43936008.79
346,ago,Machinery / Electrical,2014,52310758.42000001
347,ago,Machinery / Electrical,2015,38939299.269999996
348,ago,Machinery / Electrical,2016,166484122.29
349,ago,Machinery / Electrical,2017,66601666.73999999
350,ago,Metals,2008,20480461.520000003
351,ago,Metals,2009,67961517.22
352,ago,Metals,2010,62030950.25000001
353,ago,Metals,2011,79958888.4
354,ago,Metals,2012,159450748.8
355,ago,Metals,2013,108283778.97
356,ago,Metals,2014,118333827.13000003
357,ago,Metals,2015,54596552.88999999
358,ago,Metals,2016,35249494.12
359,ago,Metals,2017,80303771.31000003
360,ago,Mineral Products,2008,58444923273.95
361,ago,Mineral Products,2009,34168294935.630005
362,ago,Mineral Products,2010,45347814598.869995
363,ago,Mineral Products,2011,53875415722.880005
364,ago,Mineral Products,2012,58598734531.97001
365,ago,Mineral Products,2013,60196972488.76
366,ago,Mineral Products,2014,55667756285.270004
367,ago,Mineral Products,2015,32565565092.01
368,ago,Mineral Products,2016,23903985962.16
369,ago,Mineral Products,2017,29237354663.16
370,ago,Miscellaneous,2008,8852521.65
371,ago,Miscellaneous,2009,14333997.799999999
372,ago,Miscellaneous,2010,12287667.32
373,ago,Miscellaneous,2011,7868476.32
374,ago,Miscellaneous,2012,8647821.200000001
375,ago,Miscellaneous,2013,13349020.83
376,ago,Miscellaneous,2014,11189374.94
377,ago,Miscellaneous,2015,11577739.409999998
378,ago,Miscellaneous,2016,9069425.31
379,ago,Miscellaneous,2017,19394536.669999998
380,ago,Plastics / Rubbers,2008,359435.44999999995
381,ago,Plastics / Rubbers,2009,6273628.02
382,ago,Plastics / Rubbers,2010,7931811.4799999995
383,ago,Plastics / Rubbers,2011,4872288.040000001
384,ago,Plastics / Rubbers,2012,1725680.45
385,ago,Plastics / Rubbers,2013,472219.18
386,ago,Plastics / Rubbers,2014,2217759.27
387,ago,Plastics / Rubbers,2015,1304134.5899999999
388,ago,Plastics / Rubbers,2016,1989098.4900000002
